,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,Artigo mal intencionado e com distorção total da realidade! Financiar Ditadura pode? Usar Cubanos como escravos pode?  Mais em: https://t.co/y31BbP24sb,151,1064553538016239616,2018-11-19 16:18:36,Twitter Web Client,312,91,Paraná/Brasil,,
1,"Não foi Bolsonaro que abandonou o Mais Médicos. Foi Cuba, indisposta a (1) tratar seus profissionais como trabalhadores em vez de escravos a serviço da ditadura; e (2) a esperar que o novo governo se estabeleça para retirá-los. Cuba tenta pegar país desprevenido para gerar crise.",280,1063791840179175424,2018-11-17 13:51:53,Twitter for iPhone,29874,6893,Rio de Janeiro,,
2,"Vivi pra ver Bolsonaro e seus fãs falando em violação de Direitos Humanos depois de atacarem pretos, Homossexuais, Mulheres e Quilombolas. É Cinismo que chama essa preocupação com a Ditadura Cubana de quem defende Ditadura Militarve Tortura?",241,1064014739108446208,2018-11-18 04:37:36,Twitter Lite,441,63,"Belo Horizonte, Brasil",,
3,Artigo mal intencionado e com distorção total da realidade! Financiar Ditadura pode? Usar Cubanos como escravos pode?  Mais em: https://t.co/y31BbP24sb,151,1064581811559415808,2018-11-19 18:10:57,Twitter Web Client,0,91,Brazil,,
4,"Uma mão no guarda-chuva e a outra no microfone. Veja logo mais no #JN #Globo “O povo brasileiro não sabe o que é ditadura”, disse Bolsonaro. https://t.co/3eDr0Gvyfe",164,1064581743670370304,2018-11-19 18:10:41,Twitter for Android,0,3,Porto Alegre,,
5,Artigo mal intencionado e com distorção total da realidade! Financiar Ditadura pode? Usar Cubanos como escravos pode?  Mais em: https://t.co/y31BbP24sb,151,1064581578683228160,2018-11-19 18:10:01,Twitter for Android,0,91,"São Paulo, Brasil",,
6,Artigo mal intencionado e com distorção total da realidade! Financiar Ditadura pode? Usar Cubanos como escravos pode?  Mais em: https://t.co/y31BbP24sb,151,1064581337623998465,2018-11-19 18:09:04,Twitter for Android,0,91,,,
7,"Uma mão no guarda-chuva e a outra no microfone. Veja logo mais no #JN #Globo “O povo brasileiro não sabe o que é ditadura”, disse Bolsonaro. https://t.co/3eDr0Gvyfe",164,1064581251871502336,2018-11-19 18:08:44,Twitter Lite,0,3,"Rio de Janeiro, Brasil",,
8,Artigo mal intencionado e com distorção total da realidade! Financiar Ditadura pode? Usar Cubanos como escravos pode?  Mais em: https://t.co/y31BbP24sb,151,1064581026809286661,2018-11-19 18:07:50,Twitter for Android,0,91,"Itaboraí, Brasil",,
9,"Não foi Bolsonaro que abandonou o Mais Médicos. Foi Cuba, indisposta a (1) tratar seus profissionais como trabalhadores em vez de escravos a serviço da ditadura; e (2) a esperar que o novo governo se estabeleça para retirá-los. Cuba tenta pegar país desprevenido para gerar crise.",280,1064580835570040832,2018-11-19 18:07:04,Twitter for Android,0,6893,Brasil,,
10,Artigo mal intencionado e com distorção total da realidade! Financiar Ditadura pode? Usar Cubanos como escravos pode?  Mais em: https://t.co/y31BbP24sb,151,1064580730343366656,2018-11-19 18:06:39,Twitter for Android,0,91,"Registro , Brasil",,
11,Artigo mal intencionado e com distorção total da realidade! Financiar Ditadura pode? Usar Cubanos como escravos pode?  Mais em: https://t.co/y31BbP24sb,151,1064580665725911045,2018-11-19 18:06:24,Twitter for Android,0,91,"Manaus, Brasil",,
12,"Uma mão no guarda-chuva e a outra no microfone. Veja logo mais no #JN #Globo “O povo brasileiro não sabe o que é ditadura”, disse Bolsonaro. https://t.co/3eDr0Gvyfe",164,1064580527473262597,2018-11-19 18:05:51,Twitter for Android,0,3,"Brasília, Brasil",,
13,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064580401002397698,2018-11-19 18:05:21,Twitter for iPhone,0,1455,,,
14,Bolsonaro acaba de dizer que o Brasil não sabe o que é viver uma ditadura.  Alguns mortos e desaparecidos na ditadura militar no Brasil https://t.co/NjvDhrOzLL,159,1064580362758733824,2018-11-19 18:05:12,Twitter Web Client,0,7,SP - Brasil,,
15,"Graças ao Bolsonaro, o Brasil agora sabe o que é a farsa de mandar dinheiro pra ditadura cubana via ""ter que engolir médicos duvidosos"". -------------------- José Marcio 142 - Inscrevam-se no nosso canal.... https://t.co/EajQFjIt5q",231,1063791757526216704,2018-11-17 13:51:33,Twitter for Android,0,3,Rio de Janeiro,,
16,"A postura de Bolsonaro em relação a Cuba vai muito além do que estão discutindo. A ditadura cubana se sustentou nas últimas décadas porque estava sendo protegida e alimentada por nós. O caso dos médicos escravos pode ser o início do fim de um regime assassino, falido e comunista.",280,1063791719039361025,2018-11-17 13:51:24,Twitter for Android,0,1207,,,
17,"A postura de Bolsonaro em relação a Cuba vai muito além do que estão discutindo. A ditadura cubana se sustentou nas últimas décadas porque estava sendo protegida e alimentada por nós. O caso dos médicos escravos pode ser o início do fim de um regime assassino, falido e comunista.",280,1063791691310743553,2018-11-17 13:51:18,Twitter for Android,0,1207,Salvador Ba Brasil,,
18,Interessante observar como o PT muda toda ótica dos fatos para proteger uma ditadura. O programa Mais Médicos foi interrompido por CUBA e não pelo Brasil. Bolsonaro só pretende dar mais qualidade à saúde pública com o “revalida” dos diplomas cubanos e PARAR DE FINANCIAR CUBA!,276,1063791622071218177,2018-11-17 13:51:01,Twitter for Android,0,2,,,
19,Médico cubano é trabalho escravo? Sim! Cuba é uma ditadura? Sim! Bolsonaro se importa com trabalho escravo em fazendas? Não!,124,1063791149549268993,2018-11-17 13:49:08,Twitter Web Client,0,2470,Brasil,,
20,Médico cubano é trabalho escravo? Sim! Cuba é uma ditadura? Sim! Bolsonaro se importa com trabalho escravo em fazendas? Não!,124,1063791120646324225,2018-11-17 13:49:02,Twitter for iPhone,0,2470,"São Paulo, Brasil",,
21,"A postura de Bolsonaro em relação a Cuba vai muito além do que estão discutindo. A ditadura cubana se sustentou nas últimas décadas porque estava sendo protegida e alimentada por nós. O caso dos médicos escravos pode ser o início do fim de um regime assassino, falido e comunista.",280,1063791038341484544,2018-11-17 13:48:42,Twitter for Android,0,1207,,,
22,"Mais Médicos é usado para ‘financiar a ditadura’, diz Carlos Bolsonaro https://t.co/DvjJgEf1uK",94,1063790870292500485,2018-11-17 13:48:02,Facebook,0,0,porto alegre zona sul,,
23,@JanainaDoBrasil Nossa eu não entendo! O Bolsonaro tira os caras de uma ditadura e só querem saber se eles são médicos! É receber todo o seu salário! Que mal tem nisso?,168,1063790786066739200,2018-11-17 13:47:42,Twitter for Android,0,0,"Campinas, Brasil",,
24,"A postura de Bolsonaro em relação a Cuba vai muito além do que estão discutindo. A ditadura cubana se sustentou nas últimas décadas porque estava sendo protegida e alimentada por nós. O caso dos médicos escravos pode ser o início do fim de um regime assassino, falido e comunista.",280,1063790754076737536,2018-11-17 13:47:34,Twitter for Android,0,1207,,,
25,Médico cubano é trabalho escravo? Sim! Cuba é uma ditadura? Sim! Bolsonaro se importa com trabalho escravo em fazendas? Não!,124,1063790709893939200,2018-11-17 13:47:24,Twitter for iPhone,0,2470,Rio de Janeiro,,
26,"Até agora todos os apelos por recuo em relação ao Mais Médicos foram feito ao Bolsonaro, que só pediu liberdade aos cubanos e pagamento integral de seus salários. Por que ninguém está questionando a ditadura cubana por não aceitar respeitar os direitos humanos dessas pessoas?",276,1063790553203163136,2018-11-17 13:46:46,Twitter for Android,0,5785,"São Paulo, Brasil",,
