,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064256696846041092,2018-11-18 20:39:04,Twitter for Android,0,595,"São Caetano do Sul, Brasil",,
1,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064256646845743104,2018-11-18 20:38:52,Twitter for Android,0,595,Aracaju-Sergipe-Brazil,,
2,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064256547658838016,2018-11-18 20:38:28,Twitter for Android,0,595,Brasil ,,
3,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064256498497400833,2018-11-18 20:38:16,Twitter for Android,0,595,Porto Velho-RO,,
4,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064256323850665984,2018-11-18 20:37:35,Twitter for Android,0,595,"Casa Branca, Brasil",,
5,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064256184000102400,2018-11-18 20:37:01,Twitter for iPhone,0,595,Rio de Janeiro,,
6,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064255824351174658,2018-11-18 20:35:36,Twitter for iPhone,0,595,"Franca, Brasil",,
7,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064255644788768768,2018-11-18 20:34:53,Twitter for Android,0,595,,,
8,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064255520771575808,2018-11-18 20:34:23,Twitter for Android,0,595,"Brasília, Brasil",,
9,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064255429558054912,2018-11-18 20:34:01,Twitter for iPad,0,595,"-26.2066,-51.082456",,
10,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064255406845947911,2018-11-18 20:33:56,Twitter Lite,0,595,,,
11,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064255397970788352,2018-11-18 20:33:54,Twitter for Android,0,595,"Bahia, Brasil",,
12,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064255368056971267,2018-11-18 20:33:47,Twitter Web Client,0,595,,,
13,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064255352953282560,2018-11-18 20:33:43,Twitter for Android,0,595,,,
14,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064255241779060737,2018-11-18 20:33:17,Twitter for Android,0,595,"Ribeirão Preto, Brasil",,
15,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064255108664492032,2018-11-18 20:32:45,Twitter Lite,0,595,,,
16,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064254967329026049,2018-11-18 20:32:11,Twitter for Android,0,595,,,
17,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064254903256784896,2018-11-18 20:31:56,Twitter for Android,0,595,Books books books,,
18,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064254878464249856,2018-11-18 20:31:50,Twitter for Android,0,595,SÃO PAULO,,
19,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064254823518924801,2018-11-18 20:31:37,Twitter for Android,0,595,"Rio de Janeiro, Brasil",,
20,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064254769290797057,2018-11-18 20:31:24,Twitter Lite,0,595,,,
21,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064254733882404865,2018-11-18 20:31:16,Twitter for iPhone,0,595,"Paraná, Brasil",,
22,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064254704610349056,2018-11-18 20:31:09,Twitter for iPhone,0,595,"Pindamonhangaba, Brasil",,
23,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064254597634625537,2018-11-18 20:30:43,Twitter for Android,0,595,SÃO PAULO,,
24,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064254401467113472,2018-11-18 20:29:56,Twitter for iPhone,0,595,"Vila Velha, Brasil",,
25,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064254286245371905,2018-11-18 20:29:29,Twitter for Android,0,595,"São Paulo, Brasil",,
26,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064254069747924992,2018-11-18 20:28:37,Twitter for Android,0,595,,,
27,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064254046356348928,2018-11-18 20:28:32,Twitter Lite,0,595,,,
28,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064253860875829248,2018-11-18 20:27:47,Twitter Web Client,0,595,Brasil,,
29,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064253368762286081,2018-11-18 20:25:50,Twitter Lite,0,595,"Rio de Janeiro, Brasil",,
30,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064253329218383872,2018-11-18 20:25:41,Twitter for Android,0,595,guaratinguetá SP,,
31,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064253196611260416,2018-11-18 20:25:09,Twitter for Android,0,595,"Belo Horizonte, Brasil",,
32,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064252957196210176,2018-11-18 20:24:12,Twitter for Android,0,595,Salvador,,
33,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064252791915511810,2018-11-18 20:23:33,Twitter for Android,0,595,"Manaus, Brasil",,
34,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064251936034172930,2018-11-18 20:20:09,Twitter for Android,0,595,,,
35,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064251769549717504,2018-11-18 20:19:29,Twitter for Android,0,595,"Tailândia, Brasil",,
36,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064251766416510976,2018-11-18 20:19:28,Twitter for Android,0,595,"Valparaíso de Goiás, Brasil",,
37,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064251726788726789,2018-11-18 20:19:19,Twitter for Android,0,595,Brasil,,
38,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064251562476929026,2018-11-18 20:18:39,Twitter for iPhone,0,595,,,
39,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064251437344071680,2018-11-18 20:18:10,Twitter for iPhone,0,595,,,
40,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064251435666296832,2018-11-18 20:18:09,Twitter for iPhone,0,595,,,
41,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064251284654620672,2018-11-18 20:17:33,Twitter for Android,0,595,,,
42,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064251201926115329,2018-11-18 20:17:14,Twitter for Android,0,595,,,
43,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064251025329192961,2018-11-18 20:16:31,Twitter for Android,0,595,"Rio de Janeiro, Brasil",,
44,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064251017372545024,2018-11-18 20:16:30,Twitter for iPhone,0,595,São Paulo,,
45,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064250406170226690,2018-11-18 20:14:04,Twitter for iPhone,0,595,,,
46,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064249706300260352,2018-11-18 20:11:17,Twitter Web Client,0,595,"Sao Paulo, Brazil",,
47,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064249603510423553,2018-11-18 20:10:52,Twitter for Android,0,595,"Guarulhos, Brasil",,
