,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,O ano em que mentiras fabricadas em massa e divulgadas pelo whatsapp venceram as eleições presidenciais no Brasil #Resuma2018Aqui,129,1064550635369086977,2018-11-19 16:07:04,Twitter Web Client,766,221,"Brasil, Distrito Federal",,
1,Bom dia. Passadas as eleições o candidato fujão eleito por fake news até churrasco já anda fazendo. Pela agenda dele fica clara a manobra para nao participar de debates. Mentiu ao povo.,185,1064432924144136192,2018-11-19 08:19:19,Twitter for iPhone,774,185,São Bernardo do Campo,,
2,"""Este episódio caracteriza a partidarização do sistema judicial do estado de São Paulo. Tem cheiro de vingança e retaliação pelo grande desempenho de Haddad e do PT nas eleições presidenciais"", diz o documento. https://t.co/6PuIhec6gI",234,1064840064331595781,2018-11-20 11:17:09,Twitter Web Client,115,53,São Paulo,,
3,"Votação para presidente e Conselho do Inter poderá ser feita pelo aplicativo oficial.   Inter foi pioneiro em eleições diretas para sócio torcedor, depois para voto à distância, voto pela internet e agora voto pelo celular via aplicativo de uma maneira extremamente fácil. https://t.co/3V8gIZJlgA",296,1064921109764743168,2018-11-20 16:39:12,Twitter for Android,0,94,,,
4,"Tendo em vista as sujeiras, canalhices e pautas bomba promovidas pelo Congresso Nacional por Deputados e Senadores que não se reelegeram, o que você acharia de mudar a data do 1°Turno das eleições para 15 de novembro e do 2°Turno para 5 de dezembro ? RT após votar #CongressoSujo",279,1064921062083833856,2018-11-20 16:39:01,Twitter Web Client,0,116,"Brasília, Brasil",,
5,"Fernando Haddad, além de  ter sido lesado por fake news nas últimas eleíções agora estão querendo  desmoralizá-lo com essas delações...  E os processos do Aécio Neves???????",173,1064921061458874375,2018-11-20 16:39:00,Twitter Web Client,2,0,Brasil,,
6,"Quando petista vira réu antes das eleições: “Aiiinnn, o Judiciário está interferindo nas eleições!”  Quando petista vira réu depois das eleições: “Aiiinnn, é vingança e retaliação do Judiciário!”  Petistas ridículos.",216,1064921002298277888,2018-11-20 16:38:46,Twitter for iPhone,0,950,"Rio de Janeiro, Brasil",,
7,"A função""dar um tempo"" do Facebook é, sem dúvidas, a melhor de todas! Desde as eleições fazendo minhas redes sociais bem melhor!",128,1064920948183351296,2018-11-20 16:38:33,Twitter for Android,0,0,,,
8,parece eu brigando com o meu vizinho quando anunciaram q o ele tinha ganhado as eleições https://t.co/JRSNUiKlHf,112,1064920937290698752,2018-11-20 16:38:31,Twitter for iPhone,0,0,"São Caetano do Sul, Brasil",,
9,"Tendo em vista as sujeiras, canalhices e pautas bomba promovidas pelo Congresso Nacional por Deputados e Senadores que não se reelegeram, o que você acharia de mudar a data do 1°Turno das eleições para 15 de novembro e do 2°Turno para 5 de dezembro ? RT após votar #CongressoSujo",279,1064920933423554560,2018-11-20 16:38:30,Twitter for Android,0,116,,,
