,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,"Depois de Facebook e Twitter, agora foi a vez do WhatsApp afirmar que a campanha de Bolsonaro não contratou impulsionamento. Aquela fake news lançada na época da campanha vai ficando cada vez mais... fake News.",210,1062330199314972673,2018-11-13 13:03:51,Twitter Web Client,11528,2501,Brasil,,
1,Como as fake news de WhatsApp levaram um povoado a linchar dois inocentes no México https://t.co/tBlpuI8bk6,107,1063537198220410880,2018-11-16 21:00:02,Folha com welcome-app 1.0,376,184,"São Paulo, Brazil",,
2,"Se estivessem enviando fake news no WhatsApp, já era! ⚰️ 💀 https://t.co/7EFV8p6sMJ",82,1062457184439676930,2018-11-13 21:28:26,Twitter for iPhone,899,246,"Uberlândia, Brasil",,
3,"@reynaldo_pinto @solheidpalmqui1 @bramasole1000 @MarinaSilva Ué, mas sem celular barato, sem whatsapp, sem fake news e sem caixa 2, o bolsa de bosta nem teria ido ao 2º turno. 🤣🤣🤣🤣",180,1065242238115094528,2018-11-21 13:55:15,Twitter Web Client,0,0,,,
4,"O que não tem remédio, para seus filhos ou dos outros, é espalhar fake news (notícia falsa) sobre saúde.  Se tiver dúvidas, você pode checar as informações sobre saúde no canal Saúde Sem Fake News, via WhatsApp, no... https://t.co/nzP4YAheII",241,1065237442477916160,2018-11-21 13:36:12,Facebook,0,0,Brazil,,
5,"O propósito do WhatsApp até ontem era corrente, fake news e Gif de bom dia, agora é só cu.",90,1065235963411087360,2018-11-21 13:30:19,Twitter for Android,0,20,camila's heart 08/03/18.      ,,
6,"@GDimenstein Primeiro, cadê as provas da fake news do WhatsApp? Segundo, o Eduardo não disse nada além do que já pensamos sobre a Folha de São Paulo, o povo já não acredita nesse jornaleco.",189,1065228885023961089,2018-11-21 13:02:11,Twitter for Android,0,0,"São Bernardo do Campo , SP",,
7,Pessoal me dêem dicas de como educar os parentes sobre fake news no WhatsApp MAS DE MANEIRA EDUCADA e doce,106,1065227462743871490,2018-11-21 12:56:32,Twitter for Android,0,0,,,
8,"@folha_poder @monicabergamo Concordo, por isso temos que criminalizar o comunismo no Brasil, terminar de prender os os bandidos do PT ainda soltos e processar parte da imprensa que cria fake news para desestabilizar o processo democrático, como fez a @folha na patética matéria fake sobre o WhatsApp.",300,1065223648527683585,2018-11-21 12:41:23,Twitter for Android,1,0,Brasil,,
9,"@GDimenstein O Eduardo esta errado? Um jornal que publica Fake News (no caso Whatsapp), merece credibilidade? Eu concordo com o papel higiênico.",144,1065218416380977152,2018-11-21 12:20:35,Twitter Web Client,5,0,Brasil,,
10,"@foIha_sp Jornalista petista que inventou fake news de Bolsonaro e foi desmentida pelo próprio Whatsapp é filha de jornalista que recebeu propinas na Lava Jato, diz Marcelo Odebrecht.",183,1065215927313211394,2018-11-21 12:10:42,Twitter Web Client,0,0,,,
11,Imagina essa pessoa recebendo a Fake News da mamadeira de pênis no WhatsApp!!!! Em quem vc acha que ele votou? https://t.co/zFGNgKwxcG,134,1065211144971972608,2018-11-21 11:51:42,Twitter Lite,0,0,,,
