,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,"Spike Lee: “O fascismo usa o medo. Não é só Trump, Bolsonaro é igualmente ruim” O cineasta norte-americano assegura que a extrema direita se está aproveitando do medohttps://brasil.elpais.com/brasil/2018/11/10/cultura/1541882571_493778.html https://t.co/5BDepUH8WE",264,1061661043523493888,2018-11-11 16:44:52,TweetDeck,417,80,,,
1,"Spike Lee: “O fascismo usa o medo. Não é só Trump, Bolsonaro é igualmente ruim” | Cultura | EL PAÍS Brasil https://t.co/gS8S9zLgju",130,1061929448071720960,2018-11-12 10:31:24,Twitter for iPhone,671,157,"São Paulo, Brasil",,
2,"Cineasta Spike Lee: “fascismo usa o medo. Não é só Trump, Bolsonaro é igualmente ruim” https://t.co/OxKdd9MiZN",110,1061942885690544129,2018-11-12 11:24:48,TweetDeck,84,38,"Sao Paulo, Brazil",,
3,Bolsonaro é um sujeito que pensa apenas no seu bolso. Sua sensibilidade social é zero. É um homem mau e ignorante que não colocará nenhum tipo de barreira ao avanço neoliberal (que corresponde ao fascismo na economia); um avanço desenfreado como em nenhum outro país do mundo.,276,1064888700956483584,2018-11-20 14:30:25,Twitter for Android,0,5,São Paulo,,
4,"Spike Lee: “O fascismo usa o medo. Não é só Trump, Bolsonaro é igualmente ruim” https://t.co/mC2qqtmenD",103,1064887916177092610,2018-11-20 14:27:18,Twitter for iPhone,0,16,"Rio de Janeiro, Brasil",,
5,"@FernandoHoliday Daqui a pouco vão dizer que Bolsonaro não chamou nenhum anão albino pra compor o governo.  Oh, tempos sombrios do fascismo.",140,1064887811000684544,2018-11-20 14:26:53,Twitter Lite,0,0,,,
6,"Os irmãos porras loucas, Cid e Ciro Gomes, estão coçando para fazerem parte da tropa do nazifascista Bolsonaro. As agressões ao PT e contra as forças de esquerda fazem parte do enredo dos colaboracionistas Gomes em direção ao fascismo bolsonarista. Estão acenando vergonhosamente",279,1064887402748096518,2018-11-20 14:25:16,Twitter Lite,0,347,Rio de Janeiro,,
7,"Os irmãos porras loucas, Cid e Ciro Gomes, estão coçando para fazerem parte da tropa do nazifascista Bolsonaro. As agressões ao PT e contra as forças de esquerda fazem parte do enredo dos colaboracionistas Gomes em direção ao fascismo bolsonarista. Estão acenando vergonhosamente",279,1064887137882046465,2018-11-20 14:24:12,Twitter for Android,0,347,"Mesquita, RJ.",,
8,"Spike Lee: “O fascismo usa o medo. Não é só Trump, Bolsonaro é igualmente ruim” https://t.co/mC2qqtmenD",103,1064886761954914305,2018-11-20 14:22:43,Twitter for Android,0,16,Florianópolis,,
9,"Os irmãos porras loucas, Cid e Ciro Gomes, estão coçando para fazerem parte da tropa do nazifascista Bolsonaro. As agressões ao PT e contra as forças de esquerda fazem parte do enredo dos colaboracionistas Gomes em direção ao fascismo bolsonarista. Estão acenando vergonhosamente",279,1064885959827906560,2018-11-20 14:19:32,Twitter for Android,0,347,"São Luís, Maranhão",,
