,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,"Bolsonaro pode não desfilar em carro aberto no dia da posse, diz general Heleno  https://t.co/Xm63rqlsNV",104,1063574660091138048,2018-11-16 23:28:53,Zapier.com,337,63,Brasil,,
1,"Até onde chega a estupidez humana que não há limites. General Mourão, o vice: “os livros contarão a história do homem que libertou 8 mil cubanos da escravidão. Jair Bolsonaro”",175,1063535491486834688,2018-11-16 20:53:15,Twitter Lite,569,79,"Belo Horizonte, Brasil",,
2,"FRASE DO DIA  “No futuro, quando Cuba for livre, os livros contarão a história do homem que libertou 8 mil cubanos da escravidão: Jair Bolsonaro, o Justo”. (General Hamilton Mourão, vice-presidente de Jair Bolsonaro.) https://t.co/Qsou2heLO2",241,1063720491251363840,2018-11-17 09:08:22,Twitter Web Client,124,24,,,
3,Gostei de um vídeo @YouTube https://t.co/J7Xb339nRbÃO EM BRASÍLIA: GENERAL FALA SOBRE AMEAÇAS À BOLSONARO - MINISTRO ACABA,122,1064219734630178816,2018-11-18 18:12:11,Google,0,0,Olinda - PE - Brasil,,
4,"Gostei de um vídeo @YouTube https://t.co/4AoPJlYqzd isto , General humilha e desafia Bolsonaro "" General juarez de Paula Cunha """,128,1064217114783944704,2018-11-18 18:01:47,Google,0,0,"São Paulo, Brasil",,
5,"Gostei de um vídeo @YouTube https://t.co/RLKwupTqL6 isto , General humilha e desafia Bolsonaro "" General juarez de Paula Cunha """,128,1064215724736970753,2018-11-18 17:56:15,Google,0,0,Olinda - PE - Brasil,,
6,"Acabei de ouvir uma frase do General Mourão em entrevista à Roberto D’avila que encantou-me: “Meu relacionamento com Bolsonaro é olho no olho, quero ser o escudo e a espada dele” jamais fazer sombra a Ele!! 18/11/2018 https://t.co/en6nMdbA8S",241,1064215187295805440,2018-11-18 17:54:07,Twitter for Android,0,96,"Rio de Janeiro, Brasil",,
7,"@GeneralMourao @0_marcia POR FAVOR GENERAL livrem-se do ONYX, este BOSTA ainda vai trazerproblemas para nosso governo, para que Bolsonaro TEIMA TANTO em mante-lo na Casa Civil?NAO LUTAMOS TANTO para ter CORRUPTO em nosso governo,existem tantas pessoas CAPAZES para que onyx?",274,1064213814055448576,2018-11-18 17:48:40,Twitter Web Client,0,0,porto alegre,,
8,"Entrevista ao Roberto d'Ávila, nosso vice-presidente, General Mourão, respondeu: ""- eu sou o escudo e a espada de Bolsonaro!"" @jairbolsonaro https://t.co/wVBoXE6vps",164,1064211980192497664,2018-11-18 17:41:22,Twitter for Android,0,0,Brasil,,
9,"@GeneralMourao Boa tarde General, ajude o Bolsonaro a comandar o nosso país. Qui Deus te abençoe e o presidente. Força honra.",125,1064211695084683264,2018-11-18 17:40:14,Twitter for Android,0,0,,,
