,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,"O ministro Luís Roberto Barroso disse, durante um evento no exterior, que Lula não é um perseguido político e que Bolsonaro não representa ameaça à democracia. Todo mundo sabe isso no Brasil. E cada vez menos pessoas acreditam nesta lorota contada pelos esquerdistas.",267,1063793396266008576,2018-11-17 13:58:04,Twitter Web Client,3414,751,Brasil,,
1,Prefeitura de Barcelona pede a soltura imediata de Lula e condena discurso de ódio de Bolsonaro.   https://t.co/h8YfA40nk1,122,1063799457043673088,2018-11-17 14:22:09,Twitter for iPhone,832,298,Canoas,,
2,A resistência ao retrocesso é mundial! Prefeitura de Barcelona repudia discurso de ódio de Bolsonaro e defende imediata libertação de Lula https://t.co/2G6DfKo3zD via @jornalsul21,179,1063805264028200960,2018-11-17 14:45:14,Twitter for Android,501,165,"ÜT: -23.542504,-46.657429",,
3,"Haddad declarou ao TSE dívida de R$ 3,8 milhões, em uma campanha que custou R$ 39,2 milhões.  Só o valor devido e não pagado pela marionete do Lula cobriria com folga todo custo da campanha vencedora de Bolsonaro.  Ficou provado que dinheiro não limpa a sujeita da corrupção.",275,1064289123870093315,2018-11-18 22:47:55,Twitter for Android,0,73,,,
4,"Pensar é concatenar, contextualizar violências, repetições, lacunas, contradições, discursos.  Ponha lado a lado Sérgio Moro, o clã Bolsonaro e o novo Chanceler Ernesto Araújo. Formam o projeto q ascendeu ao poder no país. Agora tente pensá-los sem a Lava-Jato e a prisão de Lula.",280,1064289082887540737,2018-11-18 22:47:45,Twitter Lite,0,1,Salvador Bahia,,
5,"O eleito pode chamar os médicos demitidos p/ voltarem a atender. Vamos ver qtos tinham!  É muita falta de conhecimento do Brasil. Vai descobrir loguinho q governar é mais do q dizer bravatas, pregar violência, disseminar ódio ao PT e ser carrasco de Lula  https://t.co/ofi7T8Ju25",279,1064289061941272577,2018-11-18 22:47:40,Twitter for Android,0,146,Campo Grande Rio de Janeiro,,
6,"Lula: analfabeto; Dilma: sem capacidade de formular uma frase que faça sentido; Bolsonaro: capitão da reserva com ensino superior.  Mas segundo o Cuba Noblat o capitão é o mais despreparado de todos. Se for para fazer as merdas que fez o PT, ele é sim muito despreparado.",271,1064288993595015168,2018-11-18 22:47:24,Twitter for Android,0,82,"Rio de Janeiro, Brasil",,
7,VÍDEO: Silvio Santos “esqueceu” de Lula quando inventou que Bolsonaro era 1º presidente no Teleton https://t.co/sIp2m9vf4a,122,1064288961936412673,2018-11-18 22:47:16,Twitter for iPhone,0,158,,,
8,"Nem Collor, nem FHC, nem Lula, nem Dilma e nem Temer:  o governo Bolsonaro é de longe o mais ideológico, teocrata e despreparado da história da redemocratização. Um diplomata de ranking mediano e um astronouta que nunca foi acadêmico: fieis a Deus e a teorias estapafúrdias.",274,1064288944970440706,2018-11-18 22:47:12,Twitter for Android,0,2094,No mundo . De todos os lugares,,
9,"O eleito pode chamar os médicos demitidos p/ voltarem a atender. Vamos ver qtos tinham!  É muita falta de conhecimento do Brasil. Vai descobrir loguinho q governar é mais do q dizer bravatas, pregar violência, disseminar ódio ao PT e ser carrasco de Lula  https://t.co/ofi7T8Ju25",279,1064288939815682050,2018-11-18 22:47:11,Twitter for iPhone,0,146,,,
10,VÍDEO: Silvio Santos “esqueceu” de Lula quando inventou que Bolsonaro era 1º presidente no Teleton https://t.co/sIp2m9vf4a,122,1064288851324268544,2018-11-18 22:46:50,Twitter for iPhone,0,158,"São Paulo, Brasil",,
11,"A matéria diz que Bolsonaro (o cara que quer acabar com a ""mamata"") vai passar a receber + de 60mil/mês porque está acumulando 2 pensões.  O comentário mais curtido é ""Mas qnt gastam com o Lula?""   Já que acabou o Mais Médicos podiam criar o Mais Veterinários pra esse eleitorado",279,1064288781136789505,2018-11-18 22:46:33,Twitter for iPhone,0,22,"Porto Velho, Rondônia",,
12,"Nem Collor, nem FHC, nem Lula, nem Dilma e nem Temer:  o governo Bolsonaro é de longe o mais ideológico, teocrata e despreparado da história da redemocratização. Um diplomata de ranking mediano e um astronouta que nunca foi acadêmico: fieis a Deus e a teorias estapafúrdias.",274,1064288672751718401,2018-11-18 22:46:07,Twitter Lite,0,2094,,,
13,Gostei de um vídeo @YouTube https://t.co/iTZj2rilsvábio Rabin - Depoimento do Lula (sítio em Atibaia) / Fernanda Lima vs Bolsonaro,130,1064288608637440002,2018-11-18 22:45:52,Google,0,0,,,
14,"O eleito pode chamar os médicos demitidos p/ voltarem a atender. Vamos ver qtos tinham!  É muita falta de conhecimento do Brasil. Vai descobrir loguinho q governar é mais do q dizer bravatas, pregar violência, disseminar ódio ao PT e ser carrasco de Lula  https://t.co/ofi7T8Ju25",279,1064288575833952257,2018-11-18 22:45:44,Twitter for Android,0,146,RIO DE JANEIRO,,
15,"Lula para Juíza GABRIELA &gt; ""nunca foi tão fácil ser ladrão neste país""  BOLSONARO para Lula &gt; ""você vai apodrecer na cadeia""  CAMPANHA #DireitaUnida  ➡️COMENTE  📝  ➡️DÊ (RT) 🔄  ➡️CURTA (FV) ❤️  ➡️ME(SIGA) E A TODOS QUE TE SEGUIREM 🤝  #DireitaSegueDireita  #MensalinhoDoNoblat",281,1063793379513913344,2018-11-17 13:58:00,Twitter for iPhone,0,435,,,
16,"Nem Collor, nem FHC, nem Lula, nem Dilma e nem Temer:  o governo Bolsonaro é de longe o mais ideológico, teocrata e despreparado da história da redemocratização. Um diplomata de ranking mediano e um astronouta que nunca foi acadêmico: fieis a Deus e a teorias estapafúrdias.",274,1063793351214989312,2018-11-17 13:57:53,Twitter for Android,0,2094,,,
17,"Lula para Juíza GABRIELA &gt; ""nunca foi tão fácil ser ladrão neste país""  BOLSONARO para Lula &gt; ""você vai apodrecer na cadeia""  CAMPANHA #DireitaUnida  ➡️COMENTE  📝  ➡️DÊ (RT) 🔄  ➡️CURTA (FV) ❤️  ➡️ME(SIGA) E A TODOS QUE TE SEGUIREM 🤝  #DireitaSegueDireita  #MensalinhoDoNoblat",281,1063793340171333632,2018-11-17 13:57:51,Twitter Lite,0,435,,,
18,"@jose_simao Trabalho escravo em fazendas existe pelo menos desde o governo FHC, LULA E DILMA. Bolsonaro só assume em janeiro 2019.",130,1063793137888436224,2018-11-17 13:57:03,Twitter for iPhone,0,0,,,
