,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,"""Nunca foi tão fácil ser ladrão nesse país."" (Lula, 14/11/2018)",63,1062825499670573056,2018-11-14 21:52:00,Twitter Web Client,15017,3662,Rio de Janeiro,,
1,"LULA""""'NUNCA FOI TÃO FÁCIL SER LADRÃO"""" HUMMMPF...POR ISSO QUE SE FIOU TANTO  NO LULA LIVRE ,NÉ LULÉSIMO?",105,1062895238384103425,2018-11-15 02:29:07,TweetDeck,680,117,São Paulo,,
2,"‘Nunca foi tão fácil ser ladrão neste País’, diz Lula em depoimento https://t.co/UdFRrz6Cz2",91,1062847668165189632,2018-11-14 23:20:05,Hootsuite Inc.,172,73,"São Paulo, SP, Brasil",,
3,@Ronaldo @Corinthians @realvalladolid @realmadrid Vai arrumar uma tetinha aí pra ele tbm!!! Ow vai arrumar $$$ pra pagar o estádio...que o Lula ladrão deu pra vcs!!!! #lavajato,176,1064304119027023872,2018-11-18 23:47:30,Twitter for Android,0,0,,,
4,@JorgeRibeiroSE Nunca foi tão fácil ser ladrão nesse país...  Ass: Lula,71,1064303447346987010,2018-11-18 23:44:50,Twitter for iPhone,0,0,"São Bernardo do Campo, Brasil",,
5,"Em depoimento, Lula afirma ""Nunca foi tão fácil ser ladrão nesse país"" https://t.co/BR3CXS46OU via @republica_ctba",114,1064301604659179522,2018-11-18 23:37:30,Twitter Web Client,0,0,PARANÁ - BRASIL,,
6,"🔴 🔵 *** CANAL do ALONSO no YouTube *** 🔵 🔴  INSCREVA-SE aqui: https://t.co/ACjfwAnxMm  O livro de cabeceira do presidiário LULA  Luiz Inácio LULA da Silva, um LADRÃO DE SINDICATO que transformou o país num SINDICATO DE LADRÕES. https://t.co/MLxR1NMhZ8",251,1064299355748909057,2018-11-18 23:28:34,Twitter for iPhone,0,32,,,
7,https://t.co/yQZaxjIxwL A carceragem da PF virou banânia mesmo ... O 🦑 ladrão recebeu 572 visitas em sua cela. É assim mesmo pra todos os condenados????,152,1064299001422520320,2018-11-18 23:27:10,Twitter for Android,0,62,,,
8,"Lula para Juíza GABRIELA &gt; ""nunca foi tão fácil ser ladrão neste país""  BOLSONARO para Lula &gt; ""você vai apodrecer na cadeia""  CAMPANHA #DireitaUnida  ➡️COMENTE  📝  ➡️DÊ (RT) 🔄  ➡️CURTA (FV) ❤️  ➡️ME(SIGA) E A TODOS QUE TE SEGUIREM 🤝  #DireitaSegueDireita  #MensalinhoDoNoblat",281,1064298213438627846,2018-11-18 23:24:02,Twitter for Android,0,437,"Florianópolis, Brasil",,
9,https://t.co/yQZaxjIxwL A carceragem da PF virou banânia mesmo ... O 🦑 ladrão recebeu 572 visitas em sua cela. É assim mesmo pra todos os condenados????,152,1064297400448282628,2018-11-18 23:20:48,Twitter for Android,0,62,"Barra Velha, Brasil",,
