,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,Brasileiros pedem Lula livre em estádio de Londres durante partida da Seleção https://t.co/EKmoqO3LdX,101,1063823379415875584,2018-11-17 15:57:13,Twitter Web Client,315,158,"Sao Paulo, Brazil",,
1,"Em nota, governo municipal da cidade europeia repudia atitudes machistas, racistas e autoritárias do presidente eleito. Documento também defende liberdade imediata de Lula https://t.co/pmVCixXJCg https://t.co/7mgXnNZfdI",219,1063848562121949184,2018-11-17 17:37:17,Media Studio,233,87,Brasília / Brasil,,
2,"O acampamento Lula Livre foi encerrado, de acordo com seus organizadores, “por cortes de gastos e por número reduzido de pessoas”. https://t.co/0YpCjnAizb",154,1060928034184851456,2018-11-09 16:12:09,Facebook,2861,806,,,
3,"FHC (Vale), livre. Serra (R$ 23 milhões/Cx 2), livre. Alckmin (Merenda), livre. Aécio (Furnas), livre. Temer (Porto de Santos), livre. Moro (Banestado), livre. Rosângela (APAE), livre. Jucá (Zelotes), livre. Marinho/Globo (sonegações), livres.    Lula (sem provas), preso.",272,1064274133301805056,2018-11-18 21:48:21,Twitter for Android,0,846,,,
4,Michelle Bachelet : SOS POR LULA LIVRE - Assine a petição! https://t.co/MYvnDPounS via @change_br,97,1064273601250119683,2018-11-18 21:46:14,Twitter for Android,0,1,,,
5,Esse é o sol do sertão. Mais um sol que pede por Lula Livre! #LulaLivre https://t.co/LsnVH2mR6x,95,1064273593255829504,2018-11-18 21:46:12,Twitter for iPhone,1,0,,,
6,meu hobby eh olhar oq tá escrito atrás das portas do banheiro do minas shopping na que eu entrei ontem tava escrito  LULA LIVRE  FORA TEMER VAMPIRÃO e PASSA O ZAP GATINHA,170,1064273591875846147,2018-11-18 21:46:12,Twitter Lite,0,0,Bellory Hills,,
7,Michelle Bachelet : SOS POR LULA LIVRE - Assine a petição! https://t.co/ym3Bj8WqxE via @change_br,97,1064273507775852546,2018-11-18 21:45:52,Twitter for Android,0,0,,,
8,LULA LIVRE  Lula é um preso político da ditadura jurídico -midiática do Brasil. Gratidão ao povo cubano🌹 #LulaLivre https://t.co/VvMLEIYeBQ,139,1064273415819939841,2018-11-18 21:45:30,Twitter Web Client,0,119,Brasil,,
9,"FHC (Vale), livre. Serra (R$ 23 milhões/Cx 2), livre. Alckmin (Merenda), livre. Aécio (Furnas), livre. Temer (Porto de Santos), livre. Moro (Banestado), livre. Rosângela (APAE), livre. Jucá (Zelotes), livre. Marinho/Globo (sonegações), livres.    Lula (sem provas), preso.",272,1064273308911394816,2018-11-18 21:45:04,Twitter for iPhone,0,846,"Minas Gerais, Brasil",,
10,@motta1302 @lobaoeletrico Kkkkk pensou que todos iam ficar nessa de ti bajular em tudo até em formação de quadrilha? Acorda Lula seu tempo acabou estamos livre desse governo maldito,181,1064273236488318978,2018-11-18 21:44:47,Twitter for iPad,0,2,,,
11,Michelle Bachelet : SOS POR LULA LIVRE - Assine a petição! https://t.co/F6D2j8K67z via @change_br,97,1064273233686474752,2018-11-18 21:44:46,Twitter Lite,0,1,,,
