,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,"Estamos com Lula e na luta por justiça. Lula representa a dignidade do povo. Em 500 anos de história, a primeira vez que TODO povo brasileiro conheceu dignidade foi c/ Lula, a partir de seu governo. Até então, passar fome no Brasil era natural #LulaLivre  https://t.co/bPdMFQpKqp",279,1064139257089011712,2018-11-18 12:52:24,Twitter for Android,0,936,,,
1,"“Não arredaremos pé. Não desistiremos de Lula nunca. Se a justiça é política, faremos política na luta. Eles pagarão o preço pela democracia e pela História. O lugar de Lula é na rua com o povo” - @gleisi #LulaLivre",215,1064139154190229504,2018-11-18 12:51:59,Mobile Web (M2),0,531,BH/RJ/SP/ES/SP/BRASIL,,
2,"@chetropical A boca chega até a espumar quando ela solta a frase pronta ""CUT(ch), o braço do Petê!"". Deve rolar até um orgasmo. Esse povo se alimenta do ódio ao PT. O dia que o partido acabar ou o Lula morrer, esse povo se mata. A vida não vai mais ter sentido pra eles...",272,1064138735900651525,2018-11-18 12:50:20,Twitter for Android,0,0,Jaú-SP-Ursal,,
3,"Creio q os milhões de Lulas estão acovardados, acossados, amedrontados diante do saco de bosta e seus comedores de fezes (os q espalham e os q acreditam nas fake news) Não tenho outra explicação. Se não fosse a Vigília LULA LIVRE estaria literalmente só. Q povo é esse? #LulaLivre https://t.co/7ORiTJcZ7U",304,1064137131445182464,2018-11-18 12:43:57,Twitter Web Client,0,28,Terra do Nunca,,
4,"@BlogdoNoblat Lula e o PT zombam do povo. Um canalha em prisão 5 estrelas,privilégios que não param .... aparece em depoimento com terno e gravata? O maior ladrao do 🇧🇷e tratamento VIP? Esta certo?",197,1064137097819418624,2018-11-18 12:43:49,Twitter for iPhone,0,0,,,
5,"Concordo plenamente. Teríamos que soltar Lula com o povo nas ruas  E isso tem que ser feito já, antes que o matem, porque os fascistas matam sorrindo. https://t.co/xjtY9gY4OW",174,1064137071705636866,2018-11-18 12:43:43,Twitter for Android,0,314,Janga Paulista Pernambuco ,,
6,A nova atração em Curitiba é um carro de som q passa na frente do Prédio q Lula está preso. No microfone o povo aproveita para demonstrar sua “solidariedade” ao cachaceiro.Curitiba como sempre muita querida e hospitaleira!!! Kkkkk https://t.co/dr0bxWKnYC,254,1064136789894537217,2018-11-18 12:42:36,Twitter for Android,0,19,Brasil,,
7,"Concordo plenamente. Teríamos que soltar Lula com o povo nas ruas  E isso tem que ser feito já, antes que o matem, porque os fascistas matam sorrindo. https://t.co/xjtY9gY4OW",174,1064136338520317953,2018-11-18 12:40:48,Twitter Web Client,0,314,Luque. Paraguay,,
8,Parabéns ao povo catalão: https://t.co/szaP5gRnEo,49,1064136335311679488,2018-11-18 12:40:47,Twitter Lite,0,117,Itiúba-BA,,
9,Quantos se importam de verdade com o destino do presidente Lula? De que adianta dizer que ele é amado pelo povo? Mentira! Os que o amam de verdade são tão poucos que não reúne força suficiente para tirá-lo de lá. O resto é políticagem! https://t.co/cwM6CVRJib,259,1064136171402526720,2018-11-18 12:40:08,Twitter for Android,0,6,"Uberaba, Brasil",,
10,"@ottoni3101 Nossa! Estou cansada de ver essa daí vomitando na Nação Brasileira.   ""Minha filha"", o Lula  tem FILHOS MILIONÁRIOS e ainda passa a perna no povo Brasileiro.  Vc foi eleita para trabalhar para a nação, mas quer trabalhar para ladrão; vai presa também.",263,1064136123444801538,2018-11-18 12:39:57,Twitter for Android,0,0,Campo Belo,,
11,A nova atração em Curitiba é um carro de som q passa na frente do Prédio q Lula está preso. No microfone o povo aproveita para demonstrar sua “solidariedade” ao cachaceiro.Curitiba como sempre muita querida e hospitaleira!!! Kkkkk https://t.co/dr0bxWKnYC,254,1064136086937468928,2018-11-18 12:39:48,Twitter for Android,0,19,"Mato Grosso do Sul, Brasil",,
12,Brasileiro é o povo que quer o Brasil da época que Lula governava mas sem o PT no comando.,90,1064134664124841985,2018-11-18 12:34:09,Twitter Web Client,0,0,Nibiru,,
13,"@JornalOGlobo Pelo amor de Deus Globo, esquece Lula. Ele planeja ação lá porque é onde vivem o povo esquecido por todos os governos. E ele é presidente, tem que pensar no Brasil como um tudo, e isso inclui o Nordeste, onde o PT esqueceu e fez lavagem cerebral em troca de migalhas...",283,1064134335392038913,2018-11-18 12:32:50,Twitter Web Client,18,1,World,,
14,"Estão matando não só Lula, mas matando a todos nós brasileiros. Mitos estão hipnotizados e não conseguem acordar para a realidade assassina que paira sobre o país. Não sejamos omissos. Sejamos firmes e vamos insistir na liberdade de Lula e do povo brasileiro.",259,1064133862794637312,2018-11-18 12:30:58,Twitter Lite,0,94,,,
15,Parabéns ao povo catalão: https://t.co/szaP5gRnEo,49,1064133769962168320,2018-11-18 12:30:36,Twitter for Android,0,117,"São Paulo, SP, Brasil",,
16,LULA LIVRE  Lula é um preso político da ditadura jurídico -midiática do Brasil. Gratidão ao povo cubano🌹 #LulaLivre https://t.co/VvMLEIYeBQ,139,1064133473215176704,2018-11-18 12:29:25,Twitter for iPad,0,107,ubatuba-brasil,,
17,"Neste thread, mais um relato, de uma querida expressonauta, sobre como a decisão - política - de Lula de colocar o povo no orçamento mudou milhões de vidas Brasil afora: https://t.co/y3SPCaS2eT",193,1064133443129405441,2018-11-18 12:29:18,Twitter for Android,0,10,"Montes Claros, MG, Brasil",,
18,"@gleisi Gleii, Lula, PT são o câncer do povo brasileiro. Fazendo oposição ? Não. Querendo manter o projeto de poder para o autoritarismo ladrão de esquerda. Errou tem que pagar. Até em Cuba é assim.",198,1064133275466326016,2018-11-18 12:28:38,Twitter for Android,0,1,Brasil,,
