,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,"Resposta do diabo para a Dilma e PT.Que devido a inadiplência dos pactos anteriores,não fará mais pactos,com Dilma,Lula,Gleisi,Manuela,Boulos,Haddad,FHC,PT,PSDB,DEM,PMDB, e puxadinhos.Mandou pagarem,o que devem.",211,1065385841084825600,2018-11-21 23:25:53,Twitter for Android,0,0,,,
1,Essa denúncia de corrupção do Haddad fica claro que o plano era eleger a Manuela mas ceis preferiram saco de bosta vsf muito burros,131,1065384013865598976,2018-11-21 23:18:37,Twitter for iPhone,0,0,"Cuiabá, Brasil",,
2,"@RogerioVilela ""Sinto muita falta deles ""diz padre sobre Fernando Haddad e Manuela D'avila, após sumirem da missa depois das eleições https://t.co/m9oqvhtQ2S",157,1065380954607419399,2018-11-21 23:06:28,Twitter Web Client,0,0,Belém Pará,,
3,"Que tal irem até a ONU?? E aproveitando poderiam processar  Nossa Senhora Aparecida, afinal Ela também jogou contra o PT! Não foi imparcial mesmo com Haddad e Manuela comungando!!! https://t.co/8dUPWGd26w",204,1065379564245929984,2018-11-21 23:00:56,Twitter for iPhone,0,0,"São Paulo, Brasil",,
4,"@danielntl Eiii, Haddad atualizou o lattes na época da campanha. Manuela D'Ávila terminou a dissertação de mestrado durante a campanha e depositou qdo estava no aeroporto. Sem desculpinha kkkkkk",194,1065374961307709441,2018-11-21 22:42:39,Twitter for Android,0,0,Brasil,,
5,"Dilma Rousseff e Cristina Kirchner participam de fórum do pensamento crítico em Buenos Aires. Fernando Haddad e Manuela d'Ávila também são convidados para o evento, que acontece até o dia 23. https://t.co/cTg4ikXNmj",215,1065368794003050501,2018-11-21 22:18:08,Twitter for Android,0,3,,,
6,"Dilma Rousseff e Cristina Kirchner participam de fórum do pensamento crítico em Buenos Aires. Fernando Haddad e Manuela d'Ávila também são convidados para o evento, que acontece até o dia 23. https://t.co/cTg4ikXNmj",215,1065368128392179719,2018-11-21 22:15:30,Twitter for Android,0,3,,,
7,"@Haddad_Fernando O Lula foi calado na maior injustiça que já vi mas temos aqui um novo Cara à altura. Estarei sempre com Lula, Haddad, Manuela e Boulos. O facista e os bolsominions que faça o timinho deles.",206,1065365337137471494,2018-11-21 22:04:24,Twitter Lite,0,46,,,
8,"Dilma Rousseff e Cristina Kirchner participam de fórum do pensamento crítico em Buenos Aires. Fernando Haddad e Manuela d'Ávila também são convidados para o evento, que acontece até o dia 23. https://t.co/cTg4ikXNmj",215,1065364228968595456,2018-11-21 22:00:00,TweetDeck,7,3,São Leopoldo,,
9,"@Haddad_Fernando Aproveite o embalo da emigração e vá junto. E leve a cretina da Gleisi, Dilma, Manuela, Jean Willys e Maria do Rosário junto.",142,1065359032100290560,2018-11-21 21:39:21,Twitter for Android,0,0,"São Paulo, Brasil",,
10,@ErinaldoArcini @tha_is_faith @divadaesquerda @gleisi @Haddad_Fernando @PTnoSenado @PauloRocha_13 @guimaraes13PT @DeputadoFederal @CarlosZarattini @humbertocostapt Acho que deve ser a Manuela d'Ávila que tá usando essa conta.,225,1065357608444461056,2018-11-21 21:33:41,Twitter Web Client,1,0,ישראל,,
11,"@clarissacarv_ @mateusitz23 @victorvsuzuki @alexm_mkt @jairbolsonaro Engraçado que vão lá na página da Manuela, do Haddad e esculhambam, e os outros não podem dar opinião? Coitado.",180,1065351423326601216,2018-11-21 21:09:07,Twitter for Android,1,0,Fortaleza,,
12,"""Sinto muita falta deles ""diz padre sobre Fernando Haddad e Manuela D'avila, após sumirem da missa depois das eleições https://t.co/vBVDlPU7NN",142,1065347337474719744,2018-11-21 20:52:53,Twitter Web Client,3,0,Belém Pará,,
13,"🇧🇷FIÉIS CHAMA ATENÇAO DO PADRE QUE DEIXO HADDAD E MANUELA COMUNGAR, ELES SAO ABORTISTAS ELES NAO PODE COMUNGAR DIZ A FIEL. https://t.co/Va5Q3pANgA",146,1065345200288075777,2018-11-21 20:44:23,Twitter for iPhone,0,2723,,,
14,@wesleymir Manuela D'Ávila e Haddad tbm não foram mais vistos em missas ou cultos religiosos.,93,1065339810141954049,2018-11-21 20:22:58,Twitter for iPhone,0,1,Brasil,,
15,"@Haddad_Fernando O Lula foi calado na maior injustiça que já vi mas temos aqui um novo Cara à altura. Estarei sempre com Lula, Haddad, Manuela e Boulos. O facista e os bolsominions que faça o timinho deles.",206,1065339230828810241,2018-11-21 20:20:40,Twitter for Android,0,46,"Seabra, Bahia",,
16,"@Haddad_Fernando O Lula foi calado na maior injustiça que já vi mas temos aqui um novo Cara à altura. Estarei sempre com Lula, Haddad, Manuela e Boulos. O facista e os bolsominions que faça o timinho deles.",206,1065339202248892417,2018-11-21 20:20:33,Twitter for Android,0,46,#notmypresident ,,
17,"@DonSergiones @Haddad_Fernando Mas q Timão esse com Lula/Haddad, Manuela, Boulos.,, timaço! SQN!",96,1065338791836205057,2018-11-21 20:18:55,Twitter for iPhone,0,0,Itapema-Meia  Praia ,,
18,"""Eu to com ele Eu tô com ela Eu tô com Lula, Haddad e Manuela""  #tbt do melhor role do ano #interunesp em Inter Unesp https://t.co/NCBYOvZanI",141,1065336820534263810,2018-11-21 20:11:05,Instagram,0,0,,"{'type': 'Point', 'coordinates': [-21.81514388, -48.19326401]}","{'type': 'Point', 'coordinates': [-48.19326401, -21.81514388]}"
19,@brasil247 @afccontador Haddad é Lula Haddad é Lula com Manuela  Haddad é Lula com Manuela com Boulos MST com o Povo Todo! Terapia contra Facismo e Choque Democrático!,167,1065336700199686144,2018-11-21 20:10:36,Twitter for Android,0,2,,,
20,Fernando Haddad RÉU por corrupção passiva e lavagem de dinheiro! Imagina Manuela assumindo como vice caso esses pilantras estivessem na presidência. Credo! 🤦,157,1065333855941468161,2018-11-21 19:59:18,Twitter for Android,0,0,,,
21,"De 17 À 23 DE NOVEMBRO EM BUENOS AIRES. ARGENTINA😃 : ' CONFERÊNCIA DE CIÊNCIAS SOCIAIS RECEBE HADDAD, DILMA, MUJICA, GUILHERME BOULOS , MANUELA D""AVILA  E CRISTINA KICHNER 👏👏👏https://t.co/fiV7uZXwhK",198,1065329978370330624,2018-11-21 19:43:54,Twitter for Android,0,24,,,
