,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,"(Des) governo Bolsonaro terá Ministro das Relações ANTERIORES: o indicado ainda acha que a China é ""maoísta"", que a globalização é marxista e que todo o planeta tem que ser ""ocidental e cristão"" (à moda dele). O cara que será a cara do Brasil no mundo tem medo do mundo!",270,1063213591690731520,2018-11-15 23:34:08,Twitter for Android,1626,360,Rio de Janeiro,,
1,"se Bolsonaro queria acabar com ideologia  no Itamaraty, deveria ter escolhido outro nome. Fundamentalismo a essa altura, dá medo. Tem que ler coluna da @MiriamLeitaoCom https://t.co/supMaPUJgp",192,1063206931941199875,2018-11-15 23:07:40,Twitter Web Client,1061,251,são paulo - sp,,
2,"Spike Lee: “O fascismo usa o medo. Não é só Trump, Bolsonaro é igualmente ruim” O cineasta norte-americano assegura que a extrema direita se está aproveitando do medohttps://brasil.elpais.com/brasil/2018/11/10/cultura/1541882571_493778.html https://t.co/5BDepUH8WE",264,1061661043523493888,2018-11-11 16:44:52,TweetDeck,417,80,,,
3,Tá chegando dezembro e to com medo do assunto bolsonaro no Natal e eu não conseguir ficar calado.,97,1064905535034675200,2018-11-20 15:37:19,Twitter for iPhone,0,0,"Belem, Brasil",,
4,"Uai, a ""resistência"" não ia se opor ao governo""fascista"" a todo custo?  Medo de demissão leva funcionários de estatais e ministérios a apagar críticas a Bolsonaro das redes sociais  https://t.co/FftrbFIFbz",205,1064904967348264960,2018-11-20 15:35:03,Twitter Lite,0,84,BRASÍLIA -BRASIL ,,
5,Medo de demissão leva funcionários de estatais e ministérios a apagar críticas a Bolsonaro das redes sociais ~ Resistência ~  https://t.co/f5PAmKNiu5,149,1064904879855022080,2018-11-20 15:34:42,Twitter for Android,0,1300,Brasil,,
6,Medo de demissão leva funcionários de estatais e ministérios a apagar críticas a Bolsonaro das redes sociais ~ Resistência ~  https://t.co/f5PAmKNiu5,149,1064904746039947270,2018-11-20 15:34:11,Twitter Web Client,0,1300,Brasil,,
7,"Assisti ao vídeo do primeiro protesto contra o Bolsonaro. As exigências da esquerda são sempre subjetivas: ""quero a liberdade, andar por aí sem medo de alguém julgar.""  Que demanda é essa? Nem na fazenda eu consigo isso, tem vezes que até as vacas parecem que estão me julgando!",278,1064903892868259842,2018-11-20 15:30:47,Twitter for Android,0,36,,,
8,"Gostei de um vídeo @YouTube https://t.co/601qo5Z836 Lima sem medo DETONA ""Bolsonaro"", Globo age e apresentadora se dá mal.",122,1064903699120734209,2018-11-20 15:30:01,Google,0,0,Brazil,,
9,"Uai, a ""resistência"" não ia se opor ao governo""fascista"" a todo custo?  Medo de demissão leva funcionários de estatais e ministérios a apagar críticas a Bolsonaro das redes sociais  https://t.co/FftrbFIFbz",205,1064903692460204032,2018-11-20 15:29:59,Twitter for Android,0,84,Brasil,,
10,"Assisti ao vídeo do primeiro protesto contra o Bolsonaro. As exigências da esquerda são sempre subjetivas: ""quero a liberdade, andar por aí sem medo de alguém julgar.""  Que demanda é essa? Nem na fazenda eu consigo isso, tem vezes que até as vacas parecem que estão me julgando!",278,1064902497968578560,2018-11-20 15:25:15,Twitter for iPhone,0,36,RJ,,
11,Medo de demissão leva funcionários de estatais e ministérios a apagar críticas a Bolsonaro das redes sociais ~ Resistência ~  https://t.co/f5PAmKNiu5,149,1064902307136094209,2018-11-20 15:24:29,Twitter for Android,0,1300,"Centro, Rio de Janeiro",,
12,"Minha irmã: ""Irmão eu não vou na casa do Junior ele me faz medo, sabe do eu vou chamar ele? De Bolsonaro!""  Essa garota é muito meu orgulho, militante mirim 🤣❤👌",160,1064901674463047687,2018-11-20 15:21:58,Twitter for Android,0,0,"Rio de Janeiro, Brasil",,
13,"ESTÃO todos com muito medo das coisas que hão de vir, com o novo governo. Desviaram muita grana do POVO. Todos contra BOLSONARO, tá na CARA dessa ELITE ASSASSINA e CORRUPTA. https://t.co/bK190YdOg0",197,1064901599863209984,2018-11-20 15:21:40,Twitter for Android,0,0,,,
14,Medo de demissão leva funcionários de estatais e ministérios a apagar críticas a Bolsonaro das redes sociais ~ Resistência ~  https://t.co/f5PAmKNiu5,149,1064901592997134336,2018-11-20 15:21:39,Twitter for Android,0,1300,"Canoas, Brasil",,
15,"Spike Lee: “O fascismo usa o medo. Não é só Trump, Bolsonaro é igualmente ruim” | Cultura | EL PAÍS Brasil https://t.co/9LvFDbAn1Q",130,1061661016910630913,2018-11-11 16:44:45,Twitter for Android,0,0,"Manaus, Amazonas, Brasil",,
