,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,"""A retórica de Bolsonaro às vezes não combina com a realidade"", diz Mourão https://t.co/fHP7rrnW8l",98,1064870386750377984,2018-11-20 13:17:39,Twitter Web Client,608,183,Brazil,,
1,Vice de Bolsonaro viajou em aeronave de empresário e não declarou ao TSE Avião pertence a usineiro do Paraná; Mourão não quis se manifestar https://t.co/loGjx91UR4,163,1065017432136474624,2018-11-20 23:01:57,TweetDeck,337,130,,,
2,"As contas têm que ser analisadas pela Corte até 10 de dezembro, dia da diplomação. https://t.co/WrsGW63gZ6",106,1065345082495254528,2018-11-21 20:43:55,Facebook,127,22,,,
3,Vice de Bolsonaro viajou em aeronave de empresário e não declarou ao TSE Avião pertence a usineiro do Paraná; Mourão não quis se manifestar https://t.co/loGjx91UR4,163,1065366579242782720,2018-11-21 22:09:20,Twitter for Android,0,130,"Teresópolis, Brasil",,
4,APÓS DENÚNCIA: Bolsonaro Inclui Viagem De Mourão Em Prestação De Contas https://t.co/JyaUXBty5y,95,1065366190124662789,2018-11-21 22:07:47,Twitter for iPhone,0,3,,,
5,APÓS DENÚNCIA: Bolsonaro Inclui Viagem De Mourão Em Prestação De Contas https://t.co/JyaUXBty5y,95,1065365839845752833,2018-11-21 22:06:24,Twitter Web Client,0,3,,,
6,"Exclusivo | O vice-presidente eleito, general Hamilton Mourão (@GeneralMourao) contou ao repórter Eric Klein o que espera para o governo Bolsonaro a partir do ano que vem #RedeTVNews https://t.co/s8AzNS4FeW",206,1065365482600050688,2018-11-21 22:04:59,Twitter Lite,0,2,"São Paulo, Brasil",,
7,APÓS DENÚNCIA: Bolsonaro Inclui Viagem De Mourão Em Prestação De Contas https://t.co/JyaUXBty5y,95,1065365402027548674,2018-11-21 22:04:40,Twitter for Android,0,3,,,
8,"Bolsonaro, Mourão, Guedes, Mouro, Heleno, e agora o Trump.   É a nova era, petista safada! https://t.co/s49LKeWIp4",114,1065365328639729664,2018-11-21 22:04:22,Twitter Web Client,0,43,Curititiba/PR,,
9,APÓS DENÚNCIA: Bolsonaro Inclui Viagem De Mourão Em Prestação De Contas. https://t.co/JyaUXBty5y,96,1065365325905108992,2018-11-21 22:04:21,Twitter Web Client,2,0,Brasil,,
10,"Bolsonaro, Mourão, Guedes, Mouro, Heleno, e agora o Trump.   É a nova era, petista safada! https://t.co/s49LKeWIp4",114,1065365093003788288,2018-11-21 22:03:26,Twitter for Android,0,43,,,
11,Bolsonaro inclui viagem de Mourão em prestação de contas https://t.co/rlO0FzqHSZ,80,1065364986317471744,2018-11-21 22:03:00,Twitter for Android,1,0,Brasil - Rio de Janeiro,,
12,APÓS DENÚNCIA: Bolsonaro Inclui Viagem De Mourão Em Prestação De Contas https://t.co/JyaUXBty5y,95,1065364818566234113,2018-11-21 22:02:20,Twitter Web Client,4,3,Brasil,,
13,Esse Mourão é um corrupto que já começou os seus esquemas. Imaginem a conversa que esse tipo não teve com esse empresário...Vice de Bolsonaro viajou em avião de empresário e não declarou ao TSE https://t.co/gjfwsvMFRr,217,1065364256739262464,2018-11-21 22:00:06,Twitter for Android,0,13,Recife,,
14,Esse Mourão é um corrupto que já começou os seus esquemas. Imaginem a conversa que esse tipo não teve com esse empresário...Vice de Bolsonaro viajou em avião de empresário e não declarou ao TSE https://t.co/gjfwsvMFRr,217,1065363657528418309,2018-11-21 21:57:44,Twitter for Android,0,13,,,
15,"A IMPRENSA RASGANDO OS PULSOS PELO FATO DE BOLSONARO E MOURÃO SEREM MILITARES E AO MESMO TEMPO PASSAM PANO E ACHAM LINDO FIDEL, CHE, RAUL CASTRO, MADURO, CHÁVEZ SE VESTIREM COMO MILITARES.",188,1064868508813729792,2018-11-20 13:10:11,Twitter for Android,1,0,,,
16,Gostei de um vídeo @YouTube https://t.co/V6WB2KW62c Internacional - Vice de BOLSONARO General MOURÃO - 20/11/2018 -,115,1064868106705657856,2018-11-20 13:08:35,Google,0,0,Brasil,,
17,"Uma boa dica para o Gen Mourão, já que Bolsonaro resolveu manter a CGU nos mesmos moldes que vem atuando em TODOS esses casos de #CORRUPÇÃO. https://t.co/GnuetxX6eM",164,1064866193192960001,2018-11-20 13:00:59,Twitter Web Client,0,0,Brasil,,
18,Agora! Entrevista Internacional - Vice de BOLSONARO General MOURÃO - Legendado https://t.co/tzC1qFO78c,102,1064864961212674048,2018-11-20 12:56:05,Facebook,0,0,"Brasília, Brasil",,
19,Gostei de um vídeo @YouTube https://t.co/PLyZr9JH1L Internacional - Vice de BOLSONARO General MOURÃO - Legendado,112,1064862236764774401,2018-11-20 12:45:16,Google,0,0,,,
20,"Tem gente que não entendeu: Jair Bolsonaro é que foi eleito presidente do Brasil. Por mais que alguns integrem o círculo íntimo, presidente tem um só. O primeiro na linha sucessória chama-se Hamilton Mourão. Isto aqui é uma República, não uma Monarquia.",253,1064860178997276673,2018-11-20 12:37:05,Twitter for Android,0,25,Escola de Engenharia de Lins,,
