,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,"@carol36102595 @Haddad_Fernando @PresidenteJair Todos mudaram de opinião, porque pessoas que defende um governo socialista, e se mudar para países como Estados Unidos que foi o que fez Fernanda Lima, seria muita hipocrisia, defender governo socialismo morando no Brasil, quero ver defender vivendo em Cuba.",306,1064215982447751168,2018-11-18 17:57:17,Twitter for iPhone,0,0,"Massachusetts, USA",,
1,@Haddad_Fernando Socialismo distribui miséria por onde passa..,62,1063968514741030917,2018-11-18 01:33:56,Twitter Web Client,0,0,"São Paulo, Brasil",,
2,Gostei de um vídeo @YouTube https://t.co/HhcFMj5J5S PORQUE FERNANDO HADDAD JOGOU A BÍBLIA FORA - CRISTIANISMO E SOCIALISMO NÃO,126,1063952646116126722,2018-11-18 00:30:52,Google,0,0,,,
3,“Em defesa do socialismo” é muito bom! A forma como o Haddad induz o leitor a um debate com perguntas muito bem estruturadas é incrível.,136,1063926112596615168,2018-11-17 22:45:26,Twitter for iPhone,1,0,"Mogi Mirim, São Paulo",,
4,"ESTE É O SOCIALISMO NA PERIFERIA DE PARIS !! LEMBRANDO QUE HADDAD VENCEU EM PARIS COM 69,4% DOS VOTOS . https://t.co/MLkrHA67Sd",127,1063913029446877184,2018-11-17 21:53:27,Twitter for Android,2,0,Taubaté S.P,,
5,Gostei de um vídeo @YouTube https://t.co/JWA9FvexM8 PORQUE FERNANDO HADDAD JOGOU A BÍBLIA FORA - CRISTIANISMO E SOCIALISMO NÃO,126,1063839419801763840,2018-11-17 17:00:57,Google,0,0,CABO FRIO - RJ - Brasil,,
6,"@Haddad_Fernando meu filho, não existe essa de socialismo democrático! Ou se é socialista ou se é democrático!!!! Pare de enganar as pessoas!!! Vergonha alheia por vcs petistas",176,1063828459548479488,2018-11-17 16:17:24,Twitter Lite,0,0,Belo Horizonte - MG,,
7,"@jairbolsonaro_2 @conservadores Jamais!!! Estou cada vez mais a favor de Bolsonaro, e olha que já votei no Lula, por pura falta de informaçao. Agora, depois que estudei sobre socialismo, li o livro do Haddad, li as propostas dos dois  candidatos e por ultimo vi o ""kit gay"", mudei pra sempre minha opinião!",306,1063820799323373569,2018-11-17 15:46:58,Twitter for Android,1,0,"Guarulhos, Brasil",,
8,I liked a @YouTube video https://t.co/sKBGzE2pEJ SAIBA PORQUE FERNANDO HADDAD JOGOU A BÍBLIA FORA - CRISTIANISMO E SOCIALISMO NÃO,129,1063814612133560321,2018-11-17 15:22:22,Google,0,0,"Minas Gerais, Brasil",,
9,"Quem Defende o Lulismo o Socialismo Comunismo deveria passar pelo menos 1 ano de Férias em Cuba, mas vivendo como um Cubano. Será que o Haddad, Manoela, Ciro Gomes tem coragem? #ElesNão mais o Povo pode! Olha... https://t.co/57NMZBDs2m",235,1063728472789536768,2018-11-17 09:40:05,Facebook,0,0,Brazil,,
