,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,NOTA DO PARTIDO DOS TRABALHADORES: Comissão Executiva Nacional do PT apontou a gravidade da usurpação confessada pelo general Villas Bôas para impedir que o STF conceda liberdade a Lula. https://t.co/Bm5Ksn9moW,210,1061698319204917248,2018-11-11 19:12:59,Twitter for iPhone,2197,922,Curitiba - Brasil,,
1,"A fala do gal Villas-Boas evidência a trama politica contra Lula! Deixa claro q houve ingerência em decisão do STF! O q fugiria do controle? Teve de agir pq? Q limite tinha? Era uma decisão judicial, a CF devia ser observada!  Bagunçaram o país pra impedir Lula de ser candidato",278,1061605497848168450,2018-11-11 13:04:09,Twitter for iPhone,4705,1495,Curitiba - Brasil,,
2,"""De modo ilegal, Exército pressionou STF contra Lula"", post com comentários de hoje no @jornaldacbn2 estão no blog. https://t.co/iU3bWbnWlY",139,1062149681352970240,2018-11-13 01:06:32,Twitter Web Client,2117,897,"Brasília, DF, Brasil",,
3,"Toffoli preside o STF pq esta Corte é indicada/aprovada por corruptos p/ proteger corruptos. Reprovado, nunca foi juiz, jamais foi advogado/jurista de renome, passou a vida nos sindicatos do PT dos criminosos Lula e Dirceu q o levou à Casa Civil. Dirceu foi solto com voto Toffoli https://t.co/DHNd7UH136",304,1064178181513580544,2018-11-18 15:27:04,Twitter for iPhone,0,19,,,
4,"PESSOAL, VAMOS NOS ORGANIZAR PARA IR PARA AS RUAS NO BRASIL TODO PARA EXIGIR A LIBERDADE DE LULA. LULA É PRESO POLÍTICO E PARA MIM, DIAS TOFFOLI ASSUMIU DE VEZ O PAPEL DE TRAIDOR E POR ELE LULA MORRE NA PRISÃO. O PRESIDENTE DO STF NÃO VAI RESPEITAR A CF, TEMOS QUE IR PARA RUAS.",278,1064177773827293185,2018-11-18 15:25:27,Twitter Lite,0,126,,,
5,Retardados e criminosos. Insinuam que vão soltar Lula mesmo depois da condenação em segunda instância que garante a prisão mesmo com o @STF_oficial burlando pontos. Claramente querem desestabilizar o país mas esquecem que não tem mais a força que tinham. Patéticos e canalhas! https://t.co/E38Zddzbwl,300,1064177486873993218,2018-11-18 15:24:18,Twitter for iPhone,0,19,"São Paulo, Brasil",,
6,"PESSOAL, VAMOS NOS ORGANIZAR PARA IR PARA AS RUAS NO BRASIL TODO PARA EXIGIR A LIBERDADE DE LULA. LULA É PRESO POLÍTICO E PARA MIM, DIAS TOFFOLI ASSUMIU DE VEZ O PAPEL DE TRAIDOR E POR ELE LULA MORRE NA PRISÃO. O PRESIDENTE DO STF NÃO VAI RESPEITAR A CF, TEMOS QUE IR PARA RUAS.",278,1064177299472420865,2018-11-18 15:23:34,Twitter for Android,0,126,,,
7,"PESSOAL, VAMOS NOS ORGANIZAR PARA IR PARA AS RUAS NO BRASIL TODO PARA EXIGIR A LIBERDADE DE LULA. LULA É PRESO POLÍTICO E PARA MIM, DIAS TOFFOLI ASSUMIU DE VEZ O PAPEL DE TRAIDOR E POR ELE LULA MORRE NA PRISÃO. O PRESIDENTE DO STF NÃO VAI RESPEITAR A CF, TEMOS QUE IR PARA RUAS.",278,1064177281227198464,2018-11-18 15:23:29,Twitter for iPhone,0,126,,,
8,"PESSOAL, VAMOS NOS ORGANIZAR PARA IR PARA AS RUAS NO BRASIL TODO PARA EXIGIR A LIBERDADE DE LULA. LULA É PRESO POLÍTICO E PARA MIM, DIAS TOFFOLI ASSUMIU DE VEZ O PAPEL DE TRAIDOR E POR ELE LULA MORRE NA PRISÃO. O PRESIDENTE DO STF NÃO VAI RESPEITAR A CF, TEMOS QUE IR PARA RUAS.",278,1064176940435865602,2018-11-18 15:22:08,Twitter for Android,0,126,,,
9,"PESSOAL, VAMOS NOS ORGANIZAR PARA IR PARA AS RUAS NO BRASIL TODO PARA EXIGIR A LIBERDADE DE LULA. LULA É PRESO POLÍTICO E PARA MIM, DIAS TOFFOLI ASSUMIU DE VEZ O PAPEL DE TRAIDOR E POR ELE LULA MORRE NA PRISÃO. O PRESIDENTE DO STF NÃO VAI RESPEITAR A CF, TEMOS QUE IR PARA RUAS.",278,1064176885280792576,2018-11-18 15:21:55,Twitter for Android,0,126,"Olímpia, Brasil",,
