,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,"Com poucas promessas, e sem debater coisa alguma, Bolsonaro se elegeu com o voto contrário a tudo isso que está aí. Esperam os que o elegeram que satisfaça todas as suas expectativas. Aí está o nó. São tantas e tão difíceis de serem atendidas  que logo começará a frustração.",275,1064578994224447488,2018-11-19 17:59:45,TweetDeck,1495,303,,,
1,"Amoedo acaba de dizer em entrevista que votou em Bolsonaro. O Brasil não tem um partido com destaque no cenário e que seja de fato liberal. O Novo é economicamente neoliberal,  fica em cima do muro nos costumes e sua principal liderança declara voto no ultra-conservador do PSL.",278,1061959660016672769,2018-11-12 12:31:27,Twitter for iPhone,3023,621,"Rio de Janeiro, Brasil",,
2,&gt;@brdezoito Amoêdo revela voto em Bolsonaro https://t.co/ZyOJNe3GwO https://t.co/4RJnq6vaYB,94,1062047373315063808,2018-11-12 18:20:00,TweetDeck,2034,306,São Paulo,,
3,"@VEJA O voto de confiança foi dado a Bolsonaro, sossegue!",57,1064932417427972102,2018-11-20 17:24:08,Twitter for Android,0,0,"Itaperuna, Brasil",,
4,"Com poucas promessas, e sem debater coisa alguma, Bolsonaro se elegeu com o voto contrário a tudo isso que está aí. Esperam os que o elegeram que satisfaça todas as suas expectativas. Aí está o nó. São tantas e tão difíceis de serem atendidas  que logo começará a frustração.",275,1064931362875076608,2018-11-20 17:19:57,Twitter Lite,0,303,"Poranga, Ceará",,
5,"Com poucas promessas, e sem debater coisa alguma, Bolsonaro se elegeu com o voto contrário a tudo isso que está aí. Esperam os que o elegeram que satisfaça todas as suas expectativas. Aí está o nó. São tantas e tão difíceis de serem atendidas  que logo começará a frustração.",275,1064930898045558784,2018-11-20 17:18:06,Twitter for iPhone,0,303,ツ santo domingoツR.D.,,
6,"@xFalena ou pegue uma arma e vá com bolsonaro a matar  innocentes, então você será consistente com o seu voto",109,1064929884798152704,2018-11-20 17:14:04,Twitter Web Client,0,0,Italy,,
7,Perfil no twitter mostra prints de eleitores que já se arrependeram do voto em Bolsonaro. https://t.co/Ao9wle1Vqc https://t.co/cNxPNaiSCD,137,1064928971375108096,2018-11-20 17:10:26,Twitter for Android,0,90,,,
8,"Com poucas promessas, e sem debater coisa alguma, Bolsonaro se elegeu com o voto contrário a tudo isso que está aí. Esperam os que o elegeram que satisfaça todas as suas expectativas. Aí está o nó. São tantas e tão difíceis de serem atendidas  que logo começará a frustração.",275,1064928524081889280,2018-11-20 17:08:40,Twitter for Android,0,303,"Jacobina, Brasil",,
9,"@voto_BR @change_br O TSE tem que acabar, o Bolsonaro disse que iria diminuir a quantidade de ministérios espero que o TSE esteja no meio.",138,1064928361129103361,2018-11-20 17:08:01,Twitter Web Client,0,0,,,
10,"Se os Bolsôs Kids insistirem nessa linha de epistemologia e deontologia críticas de alto nível contra os ESCANDALOSAMENTE PÉSSIMOS 'veículos' paulistas, voto neles pra Papa -  Bolsonaros atacam FSP: jornal deve ser usado como 'papel higiênico' https://t.co/Ir44cj6lo7",267,1064927801646694400,2018-11-20 17:05:47,Twitter Web Client,0,0,,,
11,"@vand_rocha @kvspurs @joaoamoedonovo Também sou mineiro e ja via pelas ruas de BH um movimento muito grande a favor do Zema, antes mesmo dele declarar voto ao Bolsonaro.  Quem votou no Zema votou por algo novo, não pq eleitores de um cara com 27 anos na política fizeram campanha, ajudou,mas não foi por vcs a vitoria",317,1064927579386327040,2018-11-20 17:04:54,Twitter for Android,0,0,,,
12,"@maryritalopes Aqui em casa meu pai vive me alfinetando pq eu votei no Bolsonaro, hoje ele disse que vão privatizar a Petrobrás, fico com preguiça de responder,mais na verdade eu torço muito pra meu voto ñ ter sido em vão, estou confiante no novo governo, eu espero que o governo dê a resposta",293,1064927026220605442,2018-11-20 17:02:43,Twitter for Android,0,0,"São Luís, Brasil",,
13,"Com poucas promessas, e sem debater coisa alguma, Bolsonaro se elegeu com o voto contrário a tudo isso que está aí. Esperam os que o elegeram que satisfaça todas as suas expectativas. Aí está o nó. São tantas e tão difíceis de serem atendidas  que logo começará a frustração.",275,1064924493230018560,2018-11-20 16:52:39,Twitter Web Client,0,303,,,
14,"Com poucas promessas, e sem debater coisa alguma, Bolsonaro se elegeu com o voto contrário a tudo isso que está aí. Esperam os que o elegeram que satisfaça todas as suas expectativas. Aí está o nó. São tantas e tão difíceis de serem atendidas  que logo começará a frustração.",275,1064924161502572550,2018-11-20 16:51:20,Twitter for Android,0,303,,,
15,"Amoêdo declara voto em Bolsonaro e diz que Novo será ""independente e vigilante"" https://t.co/gES7w3cSdk via @UOLNoticias @UOL",125,1061958673432481792,2018-11-12 12:27:32,Twitter Web Client,0,0,Caffeina,,
16,"Amoêdo declara voto em Bolsonaro e diz que Novo será ""independente e vigilante"" https://t.co/ZdnNBsKcnz",103,1061958194682101760,2018-11-12 12:25:38,Facebook,0,0,BRASIL,,
17,"Amoêdo declara voto em Bolsonaro e diz que Novo será ""independente e vigilante"" https://t.co/cE3VQaHKmo via @UOLNoticias @UOL",125,1061958001043611648,2018-11-12 12:24:52,Twitter Web Client,0,0,São Paulo/SP,,
18,Ciro diz q não ataca quem votou em Bolsonaro pois tbm pediu voto pra essas pessoas. Está certíssimo. Mas porque está fazendo o mesmo então com a esquerda que votou nele? Parece estar querendo se livrar de uma imagem e colar outra mais conservadora pra ter ganho eleitoral,271,1061957901919666177,2018-11-12 12:24:28,Twitter for Android,0,0,Corinthians-Itaquera,,
19,"Amoêdo declara voto em Bolsonaro e diz que Novo será ""independente e vigilante""  https://t.co/FKmuUpfeJe",104,1061957396845813760,2018-11-12 12:22:28,Twitter for iPhone,0,46,Brazil,,
20,"Amoêdo declara voto em Bolsonaro e diz que Novo será ""independente e vigilante""  https://t.co/FKmuUpfeJe",104,1061956981416751104,2018-11-12 12:20:49,Twitter for Android,0,46,"São Paulo, Brasil",,
21,João Amoêdo declara voto em Bolsonaro e diz que Novo será “independente e vigilante” https://t.co/dDunBfAkgG,108,1061956524749307904,2018-11-12 12:19:00,TweetDeck,0,0,São Paulo - Brasil,,
22,"@luuhlcd eu acho q ele falou pensando tipo ""esse não é o foco"". ele ""abrandou"" vários posicionamentos dele ao longo da campanha, pode ser ""arregão"" mas vejo como estrategia pra não afastar voto (tanto q mta gente que votou nele acabou votando no bolsonaro no segundo turno, ...",277,1061956437612601345,2018-11-12 12:18:39,Twitter Web Client,1,0,"Curitiba, Brasil",,
23,"@CarlosBolsonaro É cada uma q a gente vê 🙄🙄 Só pq o Bolsonaro é gente como a gente, diferente de outros q só precisam do voto e esquecem de quem os colocou lá , ai ai.",167,1061956284180766727,2018-11-12 12:18:02,Twitter for Android,0,0,"RJ, Brazil",,
24,@eujiba @adrianotomasoni Então que tal você falar sobre o comerciante degolado no Ceará por apoiar Bolsonaro? Ou então o homossexual espancado até quase a morte também por declarar voto em Bolsonaro. Ou então os estudantes da UnB expulsos a tapa por estarem com a camisa de Bolsonaro. Escolhe aí,295,1061956237506551809,2018-11-12 12:17:51,Twitter for Android,1,0,,,
25,"Aos bolsominions que declararam voto desde o primeiro turno no Bolsonaro, saibam que comigo a lei Ônix Lorenzoni não vai “entrar em vigor”.",139,1061955964327342081,2018-11-12 12:16:46,Twitter for iPhone,0,0,,,
26,"@UOLNoticias Deus abençoe que seja verdade, após Bolsonaro, voto no Juiz Moro com orgulho.",90,1061955846660329473,2018-11-12 12:16:18,Twitter for Android,1,0,,,
27,Porque Amoedo não declarou seu voto ao Bolsonaro no 2° turno? Sentou no muro e agora esta sua declaração cheira oportunismo! Mas queremos sim o apoio da bancada do Novo na câmara.   https://t.co/3BuKDXzH5h,205,1061955786375655424,2018-11-12 12:16:04,Twitter for Android,0,42,"Santos, Brasil",,
28,"@UOLNoticias Eita, ele tava em coma? Alguém avisa pra ele que já passaram as eleições e o Bolsonaro ganhou, a gente fica feliz e tals, mas declarar voto agora é tarde.",167,1061955379855351808,2018-11-12 12:14:27,Twitter for Android,0,0,Brasil,,
29,"""...razões mais improváveis para dizer ""sim"" ao impeachment e submergir a democracia brasileira? 33% fizeram isso em nome de Deus, 36% da família, 25% no Brasil; um dedicou seu voto ao soldado que torturou Dilma Rousseff (Jair Bolsonaro)"" https://t.co/Rkt8Ql0sB6",262,1061954880326262784,2018-11-12 12:12:28,Twitter for iPhone,0,2,Brasilia,,
30,Porque Amoedo não declarou seu voto ao Bolsonaro no 2° turno? Sentou no muro e agora esta sua declaração cheira oportunismo! Mas queremos sim o apoio da bancada do Novo na câmara.   https://t.co/3BuKDXzH5h,205,1061954646875480065,2018-11-12 12:11:32,Twitter Web Client,0,42,"Brasília, Brasil",,
31,Porque Amoedo não declarou seu voto ao Bolsonaro no 2° turno? Sentou no muro e agora esta sua declaração cheira oportunismo! Mas queremos sim o apoio da bancada do Novo na câmara.   https://t.co/3BuKDXzH5h,205,1061954428209713154,2018-11-12 12:10:40,Twitter for Android,0,42,Brasil ,,
32,"""...razões mais improváveis para dizer ""sim"" ao impeachment e submergir a democracia brasileira? 33% fizeram isso em nome de Deus, 36% da família, 25% no Brasil; um dedicou seu voto ao soldado que torturou Dilma Rousseff (Jair Bolsonaro)"" https://t.co/Rkt8Ql0sB6",262,1061954176522039296,2018-11-12 12:09:40,Twitter Web Client,0,2,,,
33,"A nomeação de @onyxlorenzoni Ministro Extraordinário para a transição mostra o compromisso de @jairbolsonaro com a eficiência, além de partidos.  Onyx peitou o DEM para apoiar Bolsonaro, sempre foi voto isolado no partido, além de ser uma pessoa de competência ímpar.",267,1061953991800692736,2018-11-12 12:08:56,Twitter Web Client,0,56,,,
34,"""...razões mais improváveis para dizer ""sim"" ao impeachment e submergir a democracia brasileira? 33% fizeram isso em nome de Deus, 36% da família, 25% no Brasil; um dedicou seu voto ao soldado que torturou Dilma Rousseff (Jair Bolsonaro)"" https://t.co/Rkt8Ql0sB6",262,1061953727211491328,2018-11-12 12:07:53,Twitter for Android,2,2,"Rio de Contas, Beatlelandia ",,
