,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,"Janot, que havia declarado voto em Fernando Haddad, definiu o que é um ""facista"" [sic] no Twitter. https://t.co/wcLkAGntxI",122,1062703995683250176,2018-11-14 13:49:11,Facebook,365,90,,,
1,"@kleimooca O voto eh um direito. As eleicoes acabaram, nao eh hora de disputas politicas. E hora de cobrar solucoes. Inclusive da policia e do MP para ir atras dos responsaveis. Independente de partido. Ta faltando o Haddad nessa foto.",235,1065225773064364032,2018-11-21 12:49:49,Twitter for Android,0,0,Hortolandia - São Paulo,,
2,@joaquimboficial Acompanhei cada sessão do STF em que o Sr revelou toda a corrupção do PT. Admirava sua coragem e deixei de ser petista devido ao mensalão. O que devo pensar dos valores morais de um juiz que conhece mais do ninguém o PT e mesmo assim declara voto no Haddad?,274,1065223946352713729,2018-11-21 12:42:34,Twitter for Android,0,27,"Minas Gerais, Brasil",,
3,@joaquimboficial Acompanhei cada sessão do STF em que o Sr revelou toda a corrupção do PT. Admirava sua coragem e deixei de ser petista devido ao mensalão. O que devo pensar dos valores morais de um juiz que conhece mais do ninguém o PT e mesmo assim declara voto no Haddad?,274,1065221945111785473,2018-11-21 12:34:37,Twitter Web Client,0,27,ES/BR,,
4,@LuMicheletti @Haddad_Fernando O meu presidente foi eleito democraticamente NO VOTO,83,1065219826052935680,2018-11-21 12:26:12,Twitter for Android,0,0,,,
5,@pecesiqueira @GDimenstein pc vc postou alguma coisa sobre haddad?? ele conseguiu virar. virar o voto?? nao virou reu,117,1065216568064442368,2018-11-21 12:13:15,Twitter Web Client,0,0,"São Paulo, Capão Redondo",,
6,@leobandeira @gduvivier olavo falou varias merdas igual todo ser humano erra na vida mas é a hora da virada vira voto quer dizer virou reu haddad é reu,151,1065216148663402497,2018-11-21 12:11:35,Twitter Web Client,0,0,"São Paulo, Capão Redondo",,
7,@gduvivier bom dia  vc falou pra eu votar no haddad mas agora haddad conseguiu virar hahhad virou reu e agora seu voto tava serto?? eu devo continuar apoiando o haddad serto e certo,181,1065215583866798081,2018-11-21 12:09:20,Twitter Web Client,0,0,"São Paulo, Capão Redondo",,
8,"@joicefadelli @pecesiqueira bom dia, vc falou pra eu votar contra o nazismo e votar no @Haddad_Fernando  mas o haddad virou reu  e agora ?? tava serto o voto no haddad??",169,1065214515619471361,2018-11-21 12:05:05,Twitter Web Client,0,0,"São Paulo, Capão Redondo",,
9,"@silvaniasalomao @Haddad_Fernando O que mais surpreende é um ex ministro do STF, ter declarado voto para este criminoso. Escolheu o criminoso frente a escolha da presuncao do crime. LAMENTÁVEL.",193,1065209312161738752,2018-11-21 11:44:25,Twitter Lite,0,0,,,
10,"@jovensreacinhas @ivoneuman (Eu Não VOTO, SOU ANCAP) se for por corrupção entre Haddad e Bolsonaro era 6 ou meia dúzia",118,1065201214688759808,2018-11-21 11:12:14,Twitter for Android,0,0,"Ribeirão das Neves, Brasil",,
11,@joaquimboficial Acompanhei cada sessão do STF em que o Sr revelou toda a corrupção do PT. Admirava sua coragem e deixei de ser petista devido ao mensalão. O que devo pensar dos valores morais de um juiz que conhece mais do ninguém o PT e mesmo assim declara voto no Haddad?,274,1065195425622298624,2018-11-21 10:49:14,Twitter for iPhone,0,27,"Batatais, Brasil",,
12,"Votar é fazer uma escolha racional. Eu, por exemplo, sopesei os aspectos positivos e os negativos dos dois candidatos que restam na disputa. Pela primeira vez em 32 anos de exercício do direito de voto, um candidato me inspira medo. Por isso, votarei   em Fernando Haddad.",272,1065195312044826624,2018-11-21 10:48:47,Twitter for iPhone,0,106872,"Batatais, Brasil",,
13,Eu vou voltar na tecla do início de outubro: voto útil era no haddad https://t.co/TLZLcgJRpx,92,1065193220538281984,2018-11-21 10:40:28,Twitter for Android,0,0,"Pelotas, Brasil",,
14,"@qrmorre @sorrisodorashid @anamoonteiiroo @lRONZSPIDER Concordo, e somando a entrevista meio infeliz com a demora dele em declarar voto no Haddad (já que o Ciro tava preocupado com a democracia) dá uma sensação de que ele quer mais é pegar voto da esquerda e ali do centro/direita na próxima eleição do que qualquer outra coisa",327,1065189048745119745,2018-11-21 10:23:54,Twitter for iPhone,7,0,na merda,,
15,"@Senhor_God @sblfelipe @lukasgasparotto @Velberan Pensei assim: se o Haddad fosse candidato por um partido que não fosse o PT ele teria ganho. Tínhamos boas opções, mas a direita é cega e a esquerda é burra. Meu voto foi estratégico e foi totalmente contra o que o que eu realmente desejava, e me arrependo por ter feito isso :(",328,1062703914137645056,2018-11-14 13:48:51,Twitter for Android,1,0,"Osasco, SP",,
16,"Desse arrependimento não morro: não me deixei levar pela ""onda voto útil"" do 1°turno.  Ainda bem que não deixei de votar no grande Haddad pra votar nesse Cirinho ressentido. https://t.co/GRfSOjj1js",197,1062702715736899584,2018-11-14 13:44:06,Twitter for Android,0,2,,,
17,"@H1SaiaDaMatrix @almir_felitte Humberto, o contexto foi atípico, muitos votos do Boulos (o meu, por exemplo) migraram para o Haddad como voto útil contra o Bolsonaro. E, no meu ponto de vista, os votos desses parlamentares são votos do PSOL, que é um partido menos personalista que o PT e o PDT.",295,1062702056262242305,2018-11-14 13:41:28,Twitter Web Client,5,0,"Belo Horizonte, Brasil",,
